Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
108,1.7692865133285522,1.1084030866622925,-0.33811163902282715,"[32, 16, 8, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
109,1.7585477828979492,1.2021358013153076,-0.3299899101257324,"[32, 16, 8, 8]",0.3,0.001,0.0001,250,relu,sgd,15
110,1.5069034099578857,1.0555357933044434,-0.1396712064743042,"[32, 16, 8, 8]",0.3,0.001,1e-05,250,relu,sgd,15
111,2.178396463394165,1.2526695728302002,-0.6475216150283813,"[32, 16, 8, 8]",0.3,0.0001,0.0001,250,relu,sgd,15
112,2.5855672359466553,1.343000054359436,-0.9554648399353027,"[32, 16, 8, 8]",0.3,0.0001,1e-05,250,relu,sgd,15
113,0.8705511689186096,0.6962672472000122,0.34160202741622925,"[32, 16, 8, 8]",0.2,0.001,0.0001,250,tanh,adam,15
114,0.8847155570983887,0.7232643365859985,0.3308895230293274,"[32, 16, 8, 8]",0.2,0.001,1e-05,250,tanh,adam,15
115,11.476400375366211,3.247390031814575,-7.67960262298584,"[32, 16, 8, 8]",0.2,0.0001,0.0001,250,tanh,adam,15
116,10.802641868591309,3.1609103679656982,-7.170039176940918,"[32, 16, 8, 8]",0.2,0.0001,1e-05,250,tanh,adam,15
117,0.8767386078834534,0.7249924540519714,0.33692246675491333,"[32, 16, 8, 8]",0.3,0.001,0.0001,250,tanh,adam,15
118,0.9308863878250122,0.7602171301841736,0.29597049951553345,"[32, 16, 8, 8]",0.3,0.001,1e-05,250,tanh,adam,15
119,8.721526145935059,2.7872116565704346,-5.596091270446777,"[32, 16, 8, 8]",0.3,0.0001,0.0001,250,tanh,adam,15
120,9.09351634979248,2.8571341037750244,-5.87742805480957,"[32, 16, 8, 8]",0.3,0.0001,1e-05,250,tanh,adam,15
121,1.1505591869354248,0.8590649366378784,0.1298319697380066,"[32, 16, 8, 8]",0.2,0.001,0.0001,250,tanh,sgd,15
122,0.8184870481491089,0.69216388463974,0.38097816705703735,"[32, 16, 8, 8]",0.2,0.001,1e-05,250,tanh,sgd,15
123,0.7254899740219116,0.6374581456184387,0.4513118267059326,"[32, 16, 8, 8]",0.2,0.0001,0.0001,250,tanh,sgd,15
124,0.9310573935508728,0.7049461603164673,0.29584115743637085,"[32, 16, 8, 8]",0.2,0.0001,1e-05,250,tanh,sgd,15
125,0.9657800793647766,0.7197980880737305,0.2695804238319397,"[32, 16, 8, 8]",0.3,0.001,0.0001,250,tanh,sgd,15
126,0.7803406119346619,0.7069595456123352,0.4098283052444458,"[32, 16, 8, 8]",0.3,0.001,1e-05,250,tanh,sgd,15
127,1.0142461061477661,0.7233887910842896,0.23292559385299683,"[32, 16, 8, 8]",0.3,0.0001,0.0001,250,tanh,sgd,15
128,0.9645234942436218,0.6916555762290955,0.27053070068359375,"[32, 16, 8, 8]",0.3,0.0001,1e-05,250,tanh,sgd,15
129,2.092538595199585,1.2009880542755127,-0.5825873613357544,"[32, 16, 8, 8]",0.2,0.001,0.0001,350,relu,adam,15
130,1.5165727138519287,0.9981086850166321,-0.14698410034179688,"[32, 16, 8, 8]",0.2,0.001,1e-05,350,relu,adam,15
131,14.076651573181152,3.57124662399292,-9.646173477172852,"[32, 16, 8, 8]",0.2,0.0001,0.0001,350,relu,adam,15
132,13.57403564453125,3.4956419467926025,-9.266044616699219,"[32, 16, 8, 8]",0.2,0.0001,1e-05,350,relu,adam,15
133,1.5537885427474976,1.01523756980896,-0.17513048648834229,"[32, 16, 8, 8]",0.3,0.001,0.0001,350,relu,adam,15
134,2.314202070236206,1.398607850074768,-0.7502313852310181,"[32, 16, 8, 8]",0.3,0.001,1e-05,350,relu,adam,15
135,12.831507682800293,3.4057674407958984,-8.704471588134766,"[32, 16, 8, 8]",0.3,0.0001,0.0001,350,relu,adam,15
136,11.404645919799805,3.1971211433410645,-7.625334739685059,"[32, 16, 8, 8]",0.3,0.0001,1e-05,350,relu,adam,15
137,1.6111489534378052,0.947226345539093,-0.2185121774673462,"[32, 16, 8, 8]",0.2,0.001,0.0001,350,relu,sgd,15
138,1.2659209966659546,0.8955454230308533,0.04258376359939575,"[32, 16, 8, 8]",0.2,0.001,1e-05,350,relu,sgd,15
139,3.5186028480529785,1.6154439449310303,-1.6611199378967285,"[32, 16, 8, 8]",0.2,0.0001,0.0001,350,relu,sgd,15
140,3.79103422164917,1.6890217065811157,-1.8671596050262451,"[32, 16, 8, 8]",0.2,0.0001,1e-05,350,relu,sgd,15
141,1.4742103815078735,1.0279234647750854,-0.11494553089141846,"[32, 16, 8, 8]",0.3,0.001,0.0001,350,relu,sgd,15
142,2.3038768768310547,1.30613112449646,-0.742422342300415,"[32, 16, 8, 8]",0.3,0.001,1e-05,350,relu,sgd,15
143,2.5171027183532715,1.3411109447479248,-0.9036850929260254,"[32, 16, 8, 8]",0.3,0.0001,0.0001,350,relu,sgd,15
144,4.4626593589782715,1.8377643823623657,-2.375109910964966,"[32, 16, 8, 8]",0.3,0.0001,1e-05,350,relu,sgd,15
145,0.7927168011665344,0.6687266230583191,0.4004681706428528,"[32, 16, 8, 8]",0.2,0.001,0.0001,350,tanh,adam,15
146,1.1511480808258057,0.7945283651351929,0.1293865442276001,"[32, 16, 8, 8]",0.2,0.001,1e-05,350,tanh,adam,15
147,10.067429542541504,3.0231080055236816,-6.6139984130859375,"[32, 16, 8, 8]",0.2,0.0001,0.0001,350,tanh,adam,15
148,10.599326133728027,3.1004867553710938,-7.016271591186523,"[32, 16, 8, 8]",0.2,0.0001,1e-05,350,tanh,adam,15
149,1.0149427652359009,0.7490891814231873,0.2323986291885376,"[32, 16, 8, 8]",0.3,0.001,0.0001,350,tanh,adam,15
150,1.0211137533187866,0.7461419701576233,0.22773152589797974,"[32, 16, 8, 8]",0.3,0.001,1e-05,350,tanh,adam,15
151,7.602220058441162,2.6074435710906982,-4.749560356140137,"[32, 16, 8, 8]",0.3,0.0001,0.0001,350,tanh,adam,15
152,9.44859790802002,2.937317132949829,-6.145975589752197,"[32, 16, 8, 8]",0.3,0.0001,1e-05,350,tanh,adam,15
153,0.9400200247764587,0.7034283876419067,0.2890627384185791,"[32, 16, 8, 8]",0.2,0.001,0.0001,350,tanh,sgd,15
154,0.7317267656326294,0.6666987538337708,0.4465949535369873,"[32, 16, 8, 8]",0.2,0.001,1e-05,350,tanh,sgd,15
155,0.8125137090682983,0.6976763010025024,0.38549578189849854,"[32, 16, 8, 8]",0.2,0.0001,0.0001,350,tanh,sgd,15
156,0.9309836030006409,0.6535128355026245,0.2958969473838806,"[32, 16, 8, 8]",0.2,0.0001,1e-05,350,tanh,sgd,15
157,0.898533821105957,0.7581858038902283,0.3204387426376343,"[32, 16, 8, 8]",0.3,0.001,0.0001,350,tanh,sgd,15
158,1.0807477235794067,0.7871785163879395,0.18263036012649536,"[32, 16, 8, 8]",0.3,0.001,1e-05,350,tanh,sgd,15
159,1.193725824356079,0.7447865605354309,0.09718495607376099,"[32, 16, 8, 8]",0.3,0.0001,0.0001,350,tanh,sgd,15
160,1.0304845571517944,0.7605167627334595,0.22064441442489624,"[32, 16, 8, 8]",0.3,0.0001,1e-05,350,tanh,sgd,15
161,1.4972447156906128,0.9388324022293091,-0.13236641883850098,"[32, 16, 8, 8]",0.2,0.001,0.0001,450,relu,adam,15
162,1.4613912105560303,1.0199393033981323,-0.10525035858154297,"[32, 16, 8, 8]",0.2,0.001,1e-05,450,relu,adam,15
163,15.314577102661133,3.714191436767578,-10.582416534423828,"[32, 16, 8, 8]",0.2,0.0001,0.0001,450,relu,adam,15
164,16.639263153076172,3.92756986618042,-11.584277153015137,"[32, 16, 8, 8]",0.2,0.0001,1e-05,450,relu,adam,15
