Trial,MSE,MAE,R2,Convolutions,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
72,0.6418293118476868,0.5944393277168274,0.25290900468826294,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,relu,rmsprop,20
73,0.7285850644111633,0.6638909578323364,0.15192508697509766,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,leaky_relu,adam,20
74,0.5862106680870056,0.6570906043052673,0.317649245262146,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,leaky_relu,adam,20
75,0.6033641695976257,0.6496086120605469,0.2976824641227722,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,leaky_relu,adam,20
76,5.017970561981201,2.0702950954437256,-4.840930938720703,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,leaky_relu,adam,20
77,4.382704734802246,1.9163646697998047,-4.101480007171631,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,leaky_relu,adam,20
78,4.385415554046631,1.9376529455184937,-4.104635715484619,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,leaky_relu,adam,20
79,0.7257551550865173,0.7240111231803894,0.15521907806396484,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,leaky_relu,adam,20
80,0.7235588431358337,0.7222256660461426,0.15777558088302612,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,leaky_relu,adam,20
81,2.9281249046325684,1.4851070642471313,-2.4083449840545654,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,leaky_relu,adam,20
82,0.7959413528442383,0.709883987903595,0.07352215051651001,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,leaky_relu,adam,20
83,5.238818645477295,2.1404404640197754,-5.09799861907959,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,leaky_relu,adam,20
84,5.7489118576049805,2.275498151779175,-5.69174861907959,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,leaky_relu,adam,20
85,0.3746730387210846,0.49857330322265625,0.5638796091079712,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,leaky_relu,adam,20
86,0.4677041172981262,0.5535718202590942,0.4555911421775818,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,leaky_relu,adam,20
